Title,Start Date,End Date,Location,Description,Event Link,Blog,Contributors,Image
SSI CW23 Hack Day 2023,2023-05-04,2023-05-04,University of Manchester,"At the SSI CW23 Hack Day in May 2023, the DIRECT Framework was first conceived as participants, including Dave Horsfall and Matthew Bluteau, collaborated to identify gaps in existing research competency frameworks and began building a community-led skills toolkit for digital research.",https://www.software.ac.uk/cw23-hack-day,,"Aleksandra Nenadic, Aman Goel, Dave Horsfall, Diego Alonso Álvarez, Eli Chadwick, Iain Barrass, Hannah Williams, Lieke de Boer, Paul K Korir, Martin O’Reilly, Matthew Bluteau, Nadine Spychala, Sean Marshallsay",assets/img/events/SSI-CW23-Hack-Day.jpg
UKHSA (internal presentation),2023-05-12,2023-05-12,UKHSA,Hannah Williams delivered an internal presentation on the Digital Research Competencies Framework to share insights with colleagues and gather feedback.,,,Hannah Williams,
RSE South Workshop,2023-05-16,2023-05-16,University of Reading,Hannah Williams presented the RSE Skills and Competency Framework during the RSE South Workshop 2023 in May,https://rsesouth.github.io/workshop/,,Hannah Williams,assets/img/events/RSESouth2023.jpeg
UK Carpentries Community Call,2023-06-26,2023-06-26,Online,,https://carpentries.org/community/events/,,"Aleksandra Nenadic, Matthew Bluteau, Dave Horsfall",
RSLondonSouthEast 2023,2023-07-17,2023-07-17,"South Kensington Campus, Imperial College London",,https://rslondon.ac.uk/rslondonsoutheast2023/,,"Hannah Williams, Diego Alonso Álvarez",
RSE Conference 2023,2023-09-05,2023-09-08,"Bay Campus, Swansea University",,https://rsecon23.society-rse.org/,,"Dave Horsfall, Hannah Williams, Matthew Bluteau",
Professionalising data science roles workshop,2023-10-02,2023-10-02,"The Alan Turing Institute, London",,https://www.turing.ac.uk/research/research-projects/professionalising-traditional-and-infrastructure-research-roles-data,,Dave Horsfall,
DRI Retreat 2024,2024-03-18,2024-03-22,"Pendulum Hotel and Conference Centre, Manchester",Emma & Sam attending; Emma involved in panels; Promote project via panels and poster,https://n8cir.org.uk/training-and-events/dri-retreat-2024/,,,
Dagstuhl Seminar 24161 Research Software Engineering: Bridging Knowledge Gaps,2024-04-14,2024-04-19,"Schloss Dagstuhl, Leibniz Center for Informatics in Wadern, Germany",Toby attending and will try to promote project,https://www.dagstuhl.de/en/seminars/seminar-calendar/seminar-details/24161,,,
Collaborations Workshop 2024 (CW24),2024-04-30,2024-05-02,"Scarman, Warwick University","Lightning talk/workshop; Target discussions, invite people to short interviews",https://www.software.ac.uk/workshop/collaborations-workshop-2024-cw24,,,
N8 CIR RSE Day 2024,2024-07-18,2024-07-18,"King's Manor, University of York",,https://n8cir.org.uk/events/n8-cir-rse-day-2024/,,,
RSECon24,2024-09-03,2024-09-05,"Newcastle University, UK",Submit panel in collaboration with Met Office via Emma; Submit workshop focused on defining & categorising skills,https://rsecon24.society-rse.org/,,"Becky Osselton, Emma Hogan, Aleksandra Nenadic, Matt Craddock, Gabriel Hanganu, Eli Chadwick, Dave Horsfall",
CarpentryConnect Heidelberg 2024,2024-11-12,2024-11-14,"Heidelberg, Germany","Aleks, Toby, Matt B working on submissions",https://carpentries.org/blog/2024/01/announcing-cchd24/,,,
SSI Fellows Community Call February 2025,2025-02-24,2025-02-24,Online,10 minute talk given as a part of the regular SSI Fellows Community calls,,,Aman Goel,
Collaborations Workshop 2025 (CW25),2025-05-13,2025-05-15,"Stirling Court Hotel, University of Stirling","Proposal; Workshop notes & blogpost & Hack Day notes; Workshop slides, Hack Day slides",https://www.software.ac.uk/workshop/collaborations-workshop-2025-cw25,https://www.software.ac.uk/blog/work-skills-and-competencies-digital-research-professionals-cw25,"Workshop: Aleksandra Nenadic, David Horsfall, Eli Chadwick, , Aman Goel, Phil Reed, Adrian D’Alessandro, Jonathan Cooper Hack Day: Phil Reed, Aleksandra Nenadic, Patricia Loto, Adrian D’Alessandro, Bryn Ubald, Andrew Gait, Tamora James, Connor Aird, Ryan Smith",
"Open Research Conference 2025, Manchester",2025-06-09,2025-06-10,The University of Manchester,Aleks and Phil lightning talk at The University of Manchester,https://www.openresearch.manchester.ac.uk/conference/,,"Aleksandra Nenadic, Phil Reed",
UK-Ireland Digital Humanities Association Event 2025,2025-06-17,2025-06-18,University of Glasgow,"Workshop for capturing a digital humanities voice in the framework, part of SSI Fellowship for Phil Reed",https://digitalhumanities-uk-ie.org/2025-annual-event/,https://www.software.ac.uk/blog/giving-digital-humanities-voice-skills-and-competencies-digital-research-professionals-dha,"Phil Reed, Dave Horsfall, Aleksandra Nenadic, Lucia Michielin, Anna-Maria Sichani",
"N8 CIR RSE Annual Meeting, July 2025",2025-07-10,2025-07-10,"The Bar Convent, York",Lightning talk,https://n8cir.org.uk/training-and-events/event-resources/rse-am-2025/,,Aman Goel,
SSI internal ideas meeting,2025-09-02,2025-09-02,Online,Presentation + activity to explore the framework,,,Aleksandra Nenadic,
RSECon25,2025-09-09,2025-09-11,"Oculus, University of Warwick",Workshop for user experience testing the web app visualisations and profiles,https://rsecon25.society-rse.org/,,"Dave Horsfall, Adrian D’Alessandro, Aman Goel, Aleksandra Nenadic, Phil Reed, Emma Hogan, Muhammad Salihu, Gabriel Hanganu",
"Satellite Training Community Day, RSECon25",2025-09-12,2025-09-12,"Oculus, University of Warwick",Workshop for capturing and mapping training and learning opportunities,https://rsecon25.society-rse.org/training-community-day/,,"Dave Horsfall, Toby Hodges, Weronika Filinger, Phil Reed, Samantha Ahern, Jonathan Cooper, Aman Goel",
Careers and Skills for Data-driven Research (CaSDaR) Hybrid Event Launch,2025-09-18,2025-09-18,"Library of Birmingham, England",Lightning talk at the launch of Careers and Skills for Data-driven Research (CaSDaR),https://www.eventbrite.com/e/careers-and-skills-for-data-driven-research-casdar-hybrid-event-launch-tickets-1496323607189,https://www.software.ac.uk/blog/casdar-professionalisation-data-stewardship-roles-uk,Phil Reed,assets/img/events/CaSDaR-launch.png
DisCouRSE Focus Group: Team Culture and Leadership in dRTP contexts,2026-01-19,2026-01-19,King's College London,,https://discourse-network.github.io/events/202601-focus-group-culture/,,Dave Horsfall,assets/img/events/DisCouRSE -team-culture.jpg
